X,CH1,
Second,Volt,
-1.3600001e-03,-1.06000e+00,
-1.3500000e-03,-1.18000e+00,
-1.3400001e-03,-1.20000e+00,
-1.3300001e-03,-1.26000e+00,
-1.3200000e-03,-1.24000e+00,
-1.3100001e-03,-1.30000e+00,
-1.3000001e-03,-1.30000e+00,
-1.2900000e-03,-1.34000e+00,
-1.2800001e-03,-1.34000e+00,
-1.2700001e-03,-1.32000e+00,
-1.2600000e-03,-1.32000e+00,
-1.2500001e-03,-1.34000e+00,
-1.2400001e-03,-1.32000e+00,
-1.2300001e-03,-1.28000e+00,
-1.2200001e-03,-1.30000e+00,
-1.2100001e-03,-1.24000e+00,
-1.2000001e-03,-1.24000e+00,
-1.1900001e-03,-1.16000e+00,
-1.1800000e-03,-1.18000e+00,
-1.1700001e-03,-1.04000e+00,
-1.1600001e-03,-1.06000e+00,
-1.1500000e-03,-9.60000e-01,
-1.1400001e-03,-9.80000e-01,
-1.1300001e-03,-8.80000e-01,
-1.1200000e-03,-8.80000e-01,
-1.1100001e-03,-7.00000e-01,
-1.1000001e-03,-7.00000e-01,
-1.0900000e-03,-6.20000e-01,
-1.0800001e-03,-6.20000e-01,
-1.0700001e-03,-5.00000e-01,
-1.0600000e-03,-5.00000e-01,
-1.0500001e-03,-2.60000e-01,
-1.0400001e-03,-2.80000e-01,
-1.0300000e-03,-1.40000e-01,
-1.0200001e-03,-1.60000e-01,
-1.0100001e-03,0.00000e+00,
-1.0000000e-03,0.00000e+00,
-9.9000009e-04,1.80000e-01,
-9.8000001e-04,2.00000e-01,
-9.7000005e-04,3.20000e-01,
-9.6000009e-04,3.20000e-01,
-9.5000007e-04,4.40000e-01,
-9.4000006e-04,4.40000e-01,
-9.3000004e-04,6.20000e-01,
-9.2000008e-04,6.20000e-01,
-9.1000006e-04,7.20000e-01,
-9.0000004e-04,7.00000e-01,
-8.9000008e-04,8.00000e-01,
-8.8000007e-04,8.00000e-01,
-8.7000005e-04,9.60000e-01,
-8.6000003e-04,9.60000e-01,
-8.5000007e-04,1.02000e+00,
-8.4000005e-04,1.02000e+00,
-8.3000003e-04,1.10000e+00,
-8.2000007e-04,1.10000e+00,
-8.1000006e-04,1.14000e+00,
-8.0000004e-04,1.14000e+00,
-7.9000008e-04,1.18000e+00,
-7.8000006e-04,1.18000e+00,
-7.7000004e-04,1.16000e+00,
-7.6000002e-04,1.16000e+00,
-7.5000006e-04,1.18000e+00,
-7.4000005e-04,1.16000e+00,
-7.3000003e-04,1.14000e+00,
-7.2000007e-04,1.14000e+00,
-7.1000005e-04,1.10000e+00,
-7.0000003e-04,1.10000e+00,
-6.9000007e-04,1.00000e+00,
-6.8000006e-04,1.02000e+00,
-6.7000004e-04,9.00000e-01,
-6.6000002e-04,9.20000e-01,
-6.5000006e-04,8.20000e-01,
-6.4000004e-04,8.20000e-01,
-6.3000002e-04,6.80000e-01,
-6.2000006e-04,6.80000e-01,
-6.1000005e-04,5.60000e-01,
-6.0000003e-04,5.80000e-01,
-5.9000001e-04,4.80000e-01,
-5.8000005e-04,4.80000e-01,
-5.7000003e-04,2.60000e-01,
-5.6000001e-04,2.60000e-01,
-5.5000006e-04,1.40000e-01,
-5.4000004e-04,1.60000e-01,
-5.3000002e-04,0.00000e+00,
-5.2000006e-04,0.00000e+00,
-5.1000004e-04,-1.80000e-01,
-5.0000002e-04,-2.00000e-01,
-4.9000001e-04,-3.40000e-01,
-4.8000005e-04,-3.20000e-01,
-4.7000003e-04,-4.60000e-01,
-4.6000004e-04,-4.60000e-01,
-4.5000002e-04,-6.60000e-01,
-4.4000003e-04,-6.60000e-01,
-4.3000001e-04,-7.40000e-01,
-4.2000003e-04,-7.20000e-01,
-4.1000004e-04,-8.40000e-01,
-4.0000002e-04,-8.20000e-01,
-3.9000003e-04,-1.00000e+00,
-3.8000001e-04,-1.00000e+00,
-3.7000002e-04,-1.08000e+00,
-3.6000003e-04,-1.08000e+00,
-3.5000002e-04,-1.18000e+00,
-3.4000003e-04,-1.18000e+00,
-3.3000001e-04,-1.26000e+00,
-3.2000002e-04,-1.24000e+00,
-3.1000003e-04,-1.30000e+00,
-3.0000001e-04,-1.30000e+00,
-2.9000003e-04,-1.34000e+00,
-2.8000001e-04,-1.32000e+00,
-2.7000002e-04,-1.34000e+00,
-2.6000003e-04,-1.34000e+00,
-2.5000001e-04,-1.30000e+00,
-2.4000002e-04,-1.32000e+00,
-2.3000002e-04,-1.30000e+00,
-2.2000002e-04,-1.30000e+00,
-2.1000001e-04,-1.24000e+00,
-2.0000001e-04,-1.24000e+00,
-1.9000001e-04,-1.18000e+00,
-1.8000002e-04,-1.18000e+00,
-1.7000001e-04,-1.06000e+00,
-1.6000001e-04,-1.08000e+00,
-1.5000001e-04,-9.60000e-01,
-1.4000000e-04,-9.60000e-01,
-1.3000001e-04,-8.40000e-01,
-1.2000001e-04,-8.80000e-01,
-1.1000001e-04,-7.60000e-01,
-1.0000000e-04,-7.60000e-01,
-9.0000009e-05,-5.80000e-01,
-8.0000005e-05,-5.60000e-01,
-7.0000002e-05,-4.40000e-01,
-6.0000006e-05,-4.60000e-01,
-5.0000002e-05,-3.60000e-01,
-4.0000003e-05,-3.40000e-01,
-3.0000003e-05,-8.00000e-02,
-2.0000001e-05,-1.20000e-01,
-1.0000001e-05,2.00000e-02,
0.0000000e+00,0.00000e+00,
1.0000001e-05,1.60000e-01,
2.0000001e-05,1.40000e-01,
3.0000003e-05,3.00000e-01,
4.0000003e-05,3.40000e-01,
5.0000002e-05,4.80000e-01,
6.0000006e-05,4.60000e-01,
7.0000002e-05,5.80000e-01,
8.0000005e-05,5.40000e-01,
9.0000009e-05,7.20000e-01,
1.0000000e-04,7.40000e-01,
1.1000001e-04,8.20000e-01,
1.2000001e-04,8.20000e-01,
1.3000001e-04,9.00000e-01,
1.4000000e-04,9.00000e-01,
1.5000001e-04,1.02000e+00,
1.6000001e-04,1.04000e+00,
1.7000001e-04,1.10000e+00,
1.8000002e-04,1.08000e+00,
1.9000001e-04,1.14000e+00,
2.0000001e-04,1.14000e+00,
2.1000001e-04,1.18000e+00,
2.2000002e-04,1.18000e+00,
2.3000002e-04,1.16000e+00,
